task_id,baryon_fraction,scale_radius_over_rs,assembly_time_myr,sigma_over_m_cm2_g,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr,steps,mass_budget_residual_code
86,0.05,0.01,0.2,50.0,1208.4968916905307,1108.4968916905307,50.10691482790112,1499.3355004885764,1499.3355004885764,1105560,1.0302869668521453e-13
87,0.05,0.01,0.5,50.0,1358.2278967794987,1258.2278967794987,56.87514194277111,1611.3521466167833,1611.3521466167833,1142749,2.922107000813412e-13
88,0.05,0.01,1.0,50.0,1319.3819372855087,1219.3819372855087,55.119204512215944,1624.674844590788,1624.674844590788,1090003,2.4513724383723456e-13
89,0.05,0.02,0.0,50.0,466.70782196166095,366.70782196166095,16.57613813759604,437.75343740032264,437.75343740032264,815853,1.4210854715202004e-13
90,0.05,0.02,0.05,50.0,466.24558520349154,366.24558520349154,16.55524384547349,434.1981076109622,434.1981076109622,816321,3.3573144264664734e-13
91,0.05,0.02,0.2,50.0,508.07599620872446,408.07599620872446,18.446086171841024,463.51581301291515,463.51581301291515,843468,2.5934809855243657e-13
92,0.05,0.02,0.5,50.0,554.9539793969425,454.9539793969425,20.565091762676357,508.3256730227997,508.3256730227997,857518,2.779998453661392e-13
93,0.05,0.02,1.0,50.0,516.9300658449852,416.93006584498517,18.846312926169425,491.5287507190482,491.5287507190482,816234,1.0036416142611415e-13
94,0.05,0.04,0.0,50.0,276.177599738952,176.17759973895198,7.9636813155523365,135.90123149488937,128.38433025588915,721637,2.8421709430404007e-13
95,0.05,0.04,0.05,50.0,271.9148568005181,171.91485680051812,7.770994354541919,125.89676522520944,125.89676522520944,716577,2.0161650127192843e-13
96,0.05,0.04,0.2,50.0,271.53266950266334,171.53266950266334,7.753718504221121,125.02413885961883,125.02413885961883,713638,1.1723955140041653e-13
97,0.05,0.04,0.5,50.0,266.76745135624446,166.76745135624446,7.538318369508214,123.78542549662636,123.78542549662636,701796,8.260059303211165e-14
98,0.05,0.04,1.0,50.0,241.7122463980495,141.7122463980495,6.405758566908088,112.90219884542593,112.90219884542593,671965,3.907985046680551e-14
99,0.05,0.07,0.0,50.0,203.61935290724642,103.61935290724642,4.6838616594832425,95.81614854352598,50.34101395554005,663458,6.306066779870889e-14
100,0.05,0.07,0.05,50.0,200.20241988601057,100.20241988601057,4.529407485411001,83.8626122247878,49.220099810088946,658552,7.016609515630989e-14
101,0.05,0.07,0.2,50.0,194.13110144999,94.13110144999001,4.25496825328758,63.380689869567945,47.24191691793787,649511,8.881784197001252e-14
102,0.05,0.07,0.5,50.0,184.32355372954436,84.32355372954436,3.8116418335359743,62.64448503152899,44.2319322863881,635383,4.707345624410664e-14
103,0.05,0.07,1.0,50.0,169.64931612492805,69.64931612492805,3.1483284951489434,62.59327621087639,39.22639789662723,617038,8.704148513061227e-14
104,0.05,0.1,0.0,50.0,171.54497959404418,71.54497959404418,3.2340173669007672,78.21889669004113,26.71500987794293,632637,1.0125233984581428e-13
105,0.05,0.1,0.05,50.0,169.3042989342325,69.30429893423249,3.1327328294164225,68.94224511533437,26.201870626391344,629088,1.3322676295501878e-13
106,0.05,0.1,0.2,50.0,164.5905337128013,64.59053371280129,2.9196584994480568,62.785752074283536,25.131281144187327,621719,4.884981308350689e-14
107,0.05,0.1,0.5,50.0,157.25117204753732,57.251172047537324,2.5879004470716565,62.6098178337593,23.43521148491583,610947,9.947598300641403e-14
108,0.05,0.1,1.0,50.0,147.88152002918193,47.88152002918193,2.1643680410088746,62.58464020410438,20.894119899003133,598776,1.4477308241112041e-13
109,0.05,0.15,0.0,50.0,147.26555264981633,47.26555264981633,2.136524728820991,68.88177516899972,13.076107848444384,606467,5.018208071305708e-13
110,0.05,0.15,0.05,50.0,146.09657379209864,46.09657379209864,2.083683873336094,64.03463711099553,12.906314356978669,604447,1.305622276959184e-13
111,0.05,0.15,0.2,50.0,143.43347798413473,43.433477984134726,1.963305083076534,62.6677832087387,12.519584695425971,599989,2.362554596402333e-13
112,0.05,0.15,0.5,50.0,139.309278934141,39.30927893414099,1.7768806626921065,62.591208727863815,11.869785461943808,593584,2.851052727237402e-13
113,0.05,0.15,1.0,50.0,134.36359077644786,34.363590776447865,1.553322818605636,62.57996112125097,10.88049223255806,586787,1.3855583347321954e-13
114,0.05,0.2,0.0,50.0,136.91994766115374,36.91994766115374,1.6688767345903066,65.96270107298955,8.362100624822894,594246,1.8385293287792592e-13
115,0.05,0.2,0.05,50.0,136.2275634051658,36.227563405165796,1.6375791827405597,63.294553590450505,8.288483338373396,592994,1.9273471707492718e-13
116,0.05,0.2,0.2,50.0,134.60835823793886,34.60835823793886,1.5643869383496858,62.62749525022358,8.114255177079047,590167,3.8458125573015423e-13
117,0.05,0.2,0.5,50.0,132.10802987123918,32.10802987123918,1.451365655700043,62.584654015616195,7.808741246854826,586121,1.5720758028692217e-13
118,0.05,0.2,1.0,50.0,129.16281609263623,29.162816092636234,1.3182344064735736,62.57830575850293,7.312952594787464,581898,2.8066438062523957e-13
119,0.05,0.3,0.0,50.0,128.8794362933473,28.87943629334731,1.3054249096014057,64.02890200812726,5.109600942156557,584032,2.4513724383723456e-13
120,0.05,0.3,0.05,50.0,128.56262599480337,28.56262599480337,1.291104268050906,62.87320828835304,5.085954749642549,583433,2.149391775674303e-13
121,0.05,0.3,0.2,50.0,127.80916169749521,27.809161697495213,1.2570457410003635,62.59894513084541,5.026865240635641,582053,1.580957587066223e-13
122,0.05,0.3,0.5,50.0,126.64953260088885,26.649532600888847,1.204627518801295,62.57994740146044,4.915429328471353,580072,1.9539925233402755e-13
123,0.05,0.3,1.0,50.0,125.29719787794794,25.297197877947937,1.1434985059108094,62.577114793175426,4.715650463012415,578037,1.341149413747189e-13
124,0.05,0.01,0.0,100.0,444.2300320028055,344.2300320028055,14.493057032741316,410.6964091424963,410.6964091424963,883088,1.4566126083082054e-13
125,0.05,0.01,0.05,100.0,460.885670753456,360.885670753456,15.194306487721894,420.04317313834486,420.04317313834486,892567,1.3500311979441904e-13
126,0.05,0.01,0.2,100.0,566.123201374793,466.123201374793,19.625103894926234,501.06628230001434,501.06628230001434,943933,1.758593271006248e-13
127,0.05,0.01,0.5,100.0,701.1351008312457,601.1351008312457,25.309486363057772,632.0253538886158,632.0253538886158,982323,2.255973186038318e-13
128,0.05,0.01,1.0,100.0,722.3985601391142,622.3985601391142,26.204738083743784,699.5069998638025,699.5069998638025,949020,8.43769498715119e-14
129,0.05,0.02,0.0,100.0,279.05953749927136,179.05953749927136,7.538912494456822,162.14748775827414,157.92518856244192,738840,8.881784197001252e-14
130,0.05,0.02,0.05,100.0,282.44142859369873,182.44142859369873,7.681299665689042,158.94814314336236,158.94814314336236,741668,2.0872192862952943e-13
131,0.05,0.02,0.2,100.0,321.47004427345166,221.47004427345166,9.324514668356187,182.84985180060767,182.84985180060767,770609,1.2612133559741778e-13
132,0.05,0.02,0.5,100.0,364.34120147248854,264.34120147248854,11.12951152679472,223.02494419451781,223.02494419451781,784460,6.217248937900877e-14
133,0.05,0.02,1.0,100.0,348.65992701343276,248.65992701343276,10.469285561736235,230.1599892336301,230.1599892336301,752872,4.085620730620576e-14
134,0.05,0.04,0.0,100.0,222.62338832824094,122.62338832824094,5.162791143611483,118.99247808987403,69.74996469531538,691366,2.2470914018413168e-13
135,0.05,0.04,0.05,100.0,219.94705822468288,119.94705822468288,5.05011008378753,105.82377961741138,68.6495572255188,687229,9.414691248821327e-14
