formation_redshift,observation_redshift,available_time_myr,seed_mass_msun,target_mass_msun,required_eddington_activity,sub_eddington_feasible
20.0,6.0,750.4115260611635,100000.0,1000000.0,0.1535886897780171,True
20.0,6.0,750.4115260611635,100000.0,10000000.0,0.3071773795560342,True
20.0,4.0,1357.8002588855027,1.0,100000.0,0.4244170758100266,True
20.0,4.0,1357.8002588855027,1.0,1000000.0,0.5093004909720319,True
20.0,4.0,1357.8002588855027,1.0,10000000.0,0.5941839061340373,True
20.0,4.0,1357.8002588855027,10.0,100000.0,0.33953366064802126,True
20.0,4.0,1357.8002588855027,10.0,1000000.0,0.4244170758100266,True
20.0,4.0,1357.8002588855027,10.0,10000000.0,0.5093004909720319,True
20.0,4.0,1357.8002588855027,100.0,100000.0,0.25465024548601595,True
20.0,4.0,1357.8002588855027,100.0,1000000.0,0.33953366064802126,True
20.0,4.0,1357.8002588855027,100.0,10000000.0,0.4244170758100266,True
20.0,4.0,1357.8002588855027,1000.0,100000.0,0.16976683032401063,True
20.0,4.0,1357.8002588855027,1000.0,1000000.0,0.25465024548601595,True
20.0,4.0,1357.8002588855027,1000.0,10000000.0,0.33953366064802126,True
20.0,4.0,1357.8002588855027,100000.0,100000.0,0.0,True
20.0,4.0,1357.8002588855027,100000.0,1000000.0,0.08488341516200532,True
20.0,4.0,1357.8002588855027,100000.0,10000000.0,0.16976683032401063,True
15.0,11.0,145.2259067744149,1.0,100000.0,3.968118555495959,False
15.0,11.0,145.2259067744149,1.0,1000000.0,4.761742266595151,False
15.0,11.0,145.2259067744149,1.0,10000000.0,5.555365977694343,False
15.0,11.0,145.2259067744149,10.0,100000.0,3.1744948443967673,False
15.0,11.0,145.2259067744149,10.0,1000000.0,3.968118555495959,False
15.0,11.0,145.2259067744149,10.0,10000000.0,4.761742266595151,False
15.0,11.0,145.2259067744149,100.0,100000.0,2.3808711332975756,False
15.0,11.0,145.2259067744149,100.0,1000000.0,3.1744948443967673,False
15.0,11.0,145.2259067744149,100.0,10000000.0,3.968118555495959,False
15.0,11.0,145.2259067744149,1000.0,100000.0,1.5872474221983837,False
15.0,11.0,145.2259067744149,1000.0,1000000.0,2.3808711332975756,False
15.0,11.0,145.2259067744149,1000.0,10000000.0,3.1744948443967673,False
15.0,11.0,145.2259067744149,100000.0,100000.0,0.0,True
15.0,11.0,145.2259067744149,100000.0,1000000.0,0.7936237110991918,True
15.0,11.0,145.2259067744149,100000.0,10000000.0,1.5872474221983837,False
15.0,8.0,368.6829499150117,1.0,100000.0,1.5630601185737607,False
15.0,8.0,368.6829499150117,1.0,1000000.0,1.875672142288513,False
15.0,8.0,368.6829499150117,1.0,10000000.0,2.1882841660032653,False
15.0,8.0,368.6829499150117,10.0,100000.0,1.2504480948590087,False
15.0,8.0,368.6829499150117,10.0,1000000.0,1.5630601185737607,False
15.0,8.0,368.6829499150117,10.0,10000000.0,1.875672142288513,False
15.0,8.0,368.6829499150117,100.0,100000.0,0.9378360711442565,True
15.0,8.0,368.6829499150117,100.0,1000000.0,1.2504480948590087,False
15.0,8.0,368.6829499150117,100.0,10000000.0,1.5630601185737607,False
15.0,8.0,368.6829499150117,1000.0,100000.0,0.6252240474295043,True
15.0,8.0,368.6829499150117,1000.0,1000000.0,0.9378360711442565,True
15.0,8.0,368.6829499150117,1000.0,10000000.0,1.2504480948590087,False
15.0,8.0,368.6829499150117,100000.0,100000.0,0.0,True
15.0,8.0,368.6829499150117,100000.0,1000000.0,0.31261202371475216,True
15.0,8.0,368.6829499150117,100000.0,10000000.0,0.6252240474295043,True
15.0,6.0,660.2407779047903,1.0,100000.0,0.8728234224475353,True
15.0,6.0,660.2407779047903,1.0,1000000.0,1.0473881069370423,False
15.0,6.0,660.2407779047903,1.0,10000000.0,1.2219527914265493,False
15.0,6.0,660.2407779047903,10.0,100000.0,0.6982587379580283,True
15.0,6.0,660.2407779047903,10.0,1000000.0,0.8728234224475353,True
15.0,6.0,660.2407779047903,10.0,10000000.0,1.0473881069370423,False
15.0,6.0,660.2407779047903,100.0,100000.0,0.5236940534685212,True
15.0,6.0,660.2407779047903,100.0,1000000.0,0.6982587379580283,True
15.0,6.0,660.2407779047903,100.0,10000000.0,0.8728234224475353,True
15.0,6.0,660.2407779047903,1000.0,100000.0,0.34912936897901414,True
15.0,6.0,660.2407779047903,1000.0,1000000.0,0.5236940534685212,True
15.0,6.0,660.2407779047903,1000.0,10000000.0,0.6982587379580283,True
15.0,6.0,660.2407779047903,100000.0,100000.0,0.0,True
15.0,6.0,660.2407779047903,100000.0,1000000.0,0.17456468448950707,True
15.0,6.0,660.2407779047903,100000.0,10000000.0,0.34912936897901414,True
