task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
66,10000000.0,30.0,5.0,50.0,1000.0,12560.022333975838,12.560022333975837,11363.286050943823,196.7362830316146,0.9829813232753201,0.3333333333333333,2.282618538629322e-13,2109679
67,10000000.0,30.0,5.0,100.0,1000.0,8999.590199839615,8.999590199839615,7837.687632721173,161.9025671179181,0.9797611423743071,0.3333333333333333,3.82804898890754e-13,1964959
68,10000000.0,30.0,8.0,10.0,1000.0,73092.15114727442,73.09215114727442,71090.70021509445,1001.4509321642203,0.9861087383821556,0.20833333333333331,3.3857361358968774e-12,8376553
69,10000000.0,30.0,8.0,30.0,1000.0,33975.05953450768,33.97505953450768,32525.46533871247,449.5941957989262,0.9863656289892451,0.20833333333333331,9.903189379656396e-13,5898376
70,10000000.0,30.0,8.0,50.0,1000.0,24419.08934443688,24.41908934443688,23070.85765446984,348.23168996691015,0.9851304342006892,0.20833333333333331,7.647216193618078e-13,5317685
71,10000000.0,30.0,8.0,100.0,1000.0,17736.04535669215,17.73604535669215,16456.577645139245,279.46771155379935,0.9833014487235985,0.20833333333333331,6.430411758628907e-13,4867592
72,100000000.0,10.0,3.0,10.0,10000.0,29658.898274136427,2.9658898274136427,18959.797937158106,699.100336978468,0.9644384783302903,0.5555555555555555,2.398081733190338e-14,135068
73,100000000.0,10.0,3.0,30.0,10000.0,21375.786978105974,2.1375786978105973,10780.33639623258,595.4505818734533,0.9476563174908771,0.5555555555555555,2.1316282072803006e-14,129362
74,100000000.0,10.0,3.0,50.0,10000.0,18381.354195153566,1.8381354195153565,7827.2740340682585,554.0801610854065,0.9338913320945559,0.5555555555555555,5.950795411990839e-14,127382
75,100000000.0,10.0,3.0,100.0,10000.0,16215.891046121851,1.621589104612185,5693.015468228207,522.8755778933802,0.915880832850204,0.5555555555555555,7.37188088351104e-14,126299
76,100000000.0,10.0,5.0,10.0,10000.0,55345.874703141584,5.534587470314158,44340.820456019246,1005.0542471227712,0.9778358173990035,0.33333333333333337,1.412203687323199e-13,336814
