task_id,configuration,feedback_heating_fraction,feedback_efficiency,cooling_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,transition_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,peak_sound_speed_km_s,final_density_fraction,retained_thermal_energy_fraction,final_thermal_energy_erg,cooling_loss_energy_erg,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
34,heating_strong,1.0,0.0001,3.0,False,bondi_throughout,nan,nan,0.6843449724114603,18.73971820697573,18.73971820697573,0.9997034180747684,0.8478275721011284,2.246894439674283e+50,4.032841032408969e+49,1288.739435883706,13.346186635423303,3.490541189421492e-13
35,heating_strong,1.0,0.0001,inf,False,bondi_throughout,nan,nan,0.6156284970581962,19.40630729092281,19.40630729092281,0.9997230888268169,0.9999999999999816,2.474405845501291e+50,4.5692212355106483e+36,1288.2520258670454,12.461002793237244,3.5349501104064984e-13
36,mixed_strong,0.5,0.00014,0.15,True,transient_eddington,1.76,1.36,0.9360808580398726,12.180782144032527,12.180782144032527,0.41952218534051916,0.18864530416601394,4.3267461867389184e+49,1.8609134490848701e+50,1138.5621131888142,16.50058877241651,4.2721381987576024e-13
37,mixed_strong,0.5,0.00014,0.2,False,bondi_throughout,nan,nan,0.8767918188527315,12.576082239160115,12.576082239160115,0.43160430585403675,0.23691829670480377,5.20220396770608e+49,1.6755593467364708e+50,1141.7618357173276,15.796933674239785,3.7125857943465235e-13
38,heating_strong,1.0,0.0001,0.5,False,bondi_throughout,nan,nan,0.9642476498102126,16.737421657787326,16.737421657787326,0.9996233554585126,0.47876133979916374,1.6113178005240861e+50,1.7542793489868164e+50,1290.7160524003114,16.949004366932247,3.099742684753437e-13
39,heating_strong,1.0,0.0001,0.7,False,bondi_throughout,nan,nan,0.8784433440231284,17.258721002601714,17.258721002601714,0.9996478057236747,0.5623819917779661,1.769881348978313e+50,1.3772346235350447e+50,1290.114698228282,15.848742434643514,2.8954616482224083e-13
40,mixed_threshold,0.5,7e-05,1.5,True,transient_eddington,1.79,1.26,0.918312590288109,14.053878416012445,14.053878416012445,0.6004090725607857,0.7366320714309658,8.722137626588261e+49,3.1184242561503246e+49,1204.2994638943828,17.036733422871897,6.403766406037903e-13
41,mixed_threshold,0.5,7e-05,2.0,True,transient_eddington,1.6600000000000001,1.31,0.8865494530627736,14.248800906040776,14.248800906040776,0.6040363517555886,0.7892804134968616,9.215651415379768e+49,2.4603654447756145e+49,1204.6669807100945,16.799978637619404,7.043254868221993e-13
42,heating_threshold,1.0,5e-05,4.0,True,transient_eddington,1.98,1.33,0.9931990390623866,16.579254389168685,16.579254389168685,0.9996060338318534,0.888629062096609,1.5641554008155766e+50,1.9603393749522295e+49,1291.5079849564231,17.7284775666003,2.8332891588433995e-13
43,heating_threshold,1.0,5e-05,5.0,True,transient_eddington,1.8900000000000001,1.36,0.9744772783932459,16.68444625098716,16.68444625098716,0.9996072088891867,0.9091226088662713,1.5954550273223676e+50,1.5948430843124726e+49,1291.4807862587206,17.67559998659589,3.659295089164516e-13
44,heating_threshold,1.0,5e-05,7.0,True,transient_eddington,1.78,1.4000000000000001,0.9553496998866347,16.79448636692144,16.79448636692144,0.999609552979458,0.9334723360065271,1.628410982533377e+50,1.1605526431851752e+49,1291.4383934090545,17.570115924395072,3.419486915845482e-13
45,heating_threshold,1.0,5e-05,10.0,True,transient_eddington,1.68,1.45,0.9422218128108271,16.871540102105296,16.871540102105296,0.9996119099451429,0.9525255875843228,1.6516180569748327e+50,8.231757530929468e+48,1291.3944641472615,17.464052468569907,3.4372504842394846e-13
46,heating_threshold,1.0,5e-05,30.0,False,bondi_throughout,nan,nan,0.9235357085539716,16.98336911034251,16.98336911034251,0.9996164968717236,0.9836866441740832,1.6854898574577233e+50,2.795198648729e+48,1291.2956632780608,17.257640772442887,2.7000623958883807e-13
47,heating_threshold,1.0,5e-05,100.0,False,bondi_throughout,nan,nan,0.9170485454173168,17.022877570746232,17.022877570746232,0.9996181737675901,0.9950529038970388,1.6975101953489496e+50,8.439497075239578e+47,1291.258543742423,17.182180458446286,2.8688162956314045e-13
